Date,Production (kWh),maxtempC,mintempC,sunHour,cloudcover,tempC,FeelsLikeC,humidity,windSpeedKmph,precipMM,weatherDesc
2018-05-04 07:30:00,10.0,21,15,15.0,5,17,17,67,15,0.0,Sunny
2018-05-04 07:45:00,0.0,21,15,15.0,5,17,17,67,15,0.0,Sunny
2018-05-04 08:00:00,10.0,21,15,15.0,4,18,18,63,15,0.0,Sunny
2018-05-04 08:15:00,20.0,21,15,15.0,4,18,18,63,15,0.0,Sunny
2018-05-04 08:30:00,60.0,21,15,15.0,4,18,18,63,15,0.0,Sunny
2018-05-04 08:45:00,20.0,21,15,15.0,4,18,18,63,15,0.0,Sunny
2018-05-04 09:00:00,40.0,21,15,15.0,4,18,18,59,16,0.0,Sunny
2018-05-04 09:15:00,30.0,21,15,15.0,4,18,18,59,16,0.0,Sunny
2018-05-04 09:30:00,80.0,21,15,15.0,4,18,18,59,16,0.0,Sunny
2018-05-04 09:45:00,50.0,21,15,15.0,4,18,18,59,16,0.0,Sunny
2018-05-04 10:00:00,30.0,21,15,15.0,4,19,19,59,18,0.0,Sunny
2018-05-04 10:15:00,90.0,21,15,15.0,4,19,19,59,18,0.0,Sunny
2018-05-04 10:30:00,60.0,21,15,15.0,4,19,19,59,18,0.0,Sunny
2018-05-04 10:45:00,80.0,21,15,15.0,4,19,19,59,18,0.0,Sunny
2018-05-04 11:00:00,50.0,21,15,15.0,3,20,20,58,21,0.0,Sunny
2018-05-04 11:15:00,30.0,21,15,15.0,3,20,20,58,21,0.0,Sunny
2018-05-04 11:30:00,100.0,21,15,15.0,3,20,20,58,21,0.0,Sunny
2018-05-04 11:45:00,80.0,21,15,15.0,3,20,20,58,21,0.0,Sunny
2018-05-04 12:00:00,160.0,21,15,15.0,2,20,20,57,20,0.0,Sunny
2018-05-04 12:15:00,140.0,21,15,15.0,2,20,20,57,20,0.0,Sunny
2018-05-04 12:30:00,210.0,21,15,15.0,2,20,20,57,20,0.0,Sunny
2018-05-04 12:45:00,210.0,21,15,15.0,2,20,20,57,20,0.0,Sunny
2018-05-04 13:00:00,230.0,21,15,15.0,2,21,21,58,19,0.0,Sunny
2018-05-04 13:15:00,250.0,21,15,15.0,2,21,21,58,19,0.0,Sunny
2018-05-04 13:30:00,210.0,21,15,15.0,2,21,21,58,19,0.0,Sunny
2018-05-04 13:45:00,220.0,21,15,15.0,2,21,21,58,19,0.0,Sunny
2018-05-04 14:00:00,260.0,21,15,15.0,2,21,21,60,20,0.0,Sunny
